"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2209","Practise On Allure Reporter 4","webkit","Tue Sep 02 18:10:13 EEST 2025","passed","Tue Sep 02 18:10:15 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","5212","Practise On Allure Reporter 4","chromium","Tue Sep 02 18:09:19 EEST 2025","passed","Tue Sep 02 18:09:25 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","1966","Practise On Allure Reporter 6","webkit","Tue Sep 02 18:10:17 EEST 2025","passed","Tue Sep 02 18:10:19 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","1663","Practise On Allure Reporter 5","webkit","Tue Sep 02 18:10:15 EEST 2025","passed","Tue Sep 02 18:10:17 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","1821","Practise On Allure Reporter 6","firefox","Tue Sep 02 18:10:09 EEST 2025","passed","Tue Sep 02 18:10:11 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","2701","Practise On Allure Reporter 5","chromium","Tue Sep 02 18:09:25 EEST 2025","passed","Tue Sep 02 18:09:28 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","3203","Practise On Allure Reporter 4","firefox","Tue Sep 02 18:10:04 EEST 2025","passed","Tue Sep 02 18:10:07 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","2590","Practise On Allure Reporter 6","chromium","Tue Sep 02 18:10:00 EEST 2025","passed","Tue Sep 02 18:10:02 EEST 2025","","AllureReporterPractise2.spec.ts","",""
"","1885","Practise On Allure Reporter 5","firefox","Tue Sep 02 18:10:08 EEST 2025","passed","Tue Sep 02 18:10:09 EEST 2025","","AllureReporterPractise2.spec.ts","",""
